epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1634.05,0.95894,0.8331,1.08766,0.84801,0.83741,0.78136,0.37465,1.87582,1.23703,1.78701,0.00049025,0.00049025,0.00049025
63,1659.93,0.91489,0.83108,1.03427,0.84866,0.84154,0.77119,0.37396,1.81458,1.19411,1.70949,0.0004655,0.0004655,0.0004655
64,1685.44,0.95881,0.82793,1.06491,0.84989,0.84933,0.78632,0.37773,1.78372,1.15164,1.65382,0.00044075,0.00044075,0.00044075
65,1711.29,0.9863,0.81931,1.063,0.84979,0.84869,0.78641,0.37577,1.82439,1.14573,1.68733,0.000416,0.000416,0.000416
66,1737.39,0.88422,0.78263,1.01793,0.85,0.84999,0.78628,0.37345,1.87121,1.11478,1.72848,0.00039125,0.00039125,0.00039125
67,1763.14,0.91128,0.78111,1.0251,0.84862,0.85,0.78615,0.37326,1.86103,1.13587,1.72738,0.0003665,0.0003665,0.0003665
68,1789.43,0.84424,0.76575,1.0215,0.84725,0.85,0.78733,0.38751,1.76526,1.15278,1.64432,0.00034175,0.00034175,0.00034175
69,1818.78,0.88999,0.78747,1.05388,0.84691,0.85,0.82532,0.40339,1.72016,1.17934,1.5796,0.000317,0.000317,0.000317
70,1846.16,0.88068,0.80354,1.01835,0.8468,0.85,0.82825,0.4016,1.74262,1.19149,1.58785,0.00029225,0.00029225,0.00029225
71,1874.15,0.79026,0.74211,0.97574,0.84847,0.85,0.82829,0.41045,1.75266,1.1842,1.57466,0.0002675,0.0002675,0.0002675
72,1901.4,0.73125,0.70214,0.93343,0.84922,0.84508,0.79123,0.42244,1.76879,1.15737,1.61484,0.00024275,0.00024275,0.00024275
73,1927.42,0.72065,0.71741,0.9238,0.79843,0.79255,0.72207,0.41749,1.72787,1.15784,1.6032,0.000218,0.000218,0.000218
74,1953.38,0.78576,0.73529,0.96394,0.79806,0.79078,0.70644,0.40487,1.68818,1.15659,1.58592,0.00019325,0.00019325,0.00019325
75,1979.19,0.70014,0.72114,0.93142,0.78756,0.75,0.70869,0.41316,1.65949,1.15725,1.594,0.0001685,0.0001685,0.0001685
76,2005.19,0.68013,0.69491,0.93756,0.7878,0.75,0.71094,0.42605,1.64539,1.17957,1.61768,0.00014375,0.00014375,0.00014375
77,2031.11,0.74094,0.69158,0.9608,0.78772,0.75,0.70703,0.41453,1.65074,1.18715,1.63201,0.000119,0.000119,0.000119
78,2056.8,0.71036,0.67517,0.94086,0.79821,0.79152,0.70968,0.42613,1.65366,1.17845,1.64196,9.425e-05,9.425e-05,9.425e-05
79,2083.34,0.66899,0.67087,0.92803,0.79848,0.7928,0.71043,0.43764,1.65114,1.16355,1.64678,6.95e-05,6.95e-05,6.95e-05
80,2109.12,0.662,0.67234,0.90331,0.79848,0.79278,0.71143,0.4397,1.65364,1.15963,1.65729,4.475e-05,4.475e-05,4.475e-05
